net,length_um
_030_,153.15
_035_,135.57
net10,133.23
net12,120.78
net17,114.9
net2,108.85
net9,106.8
_082_,105.95
net7,104.32
net6,99.03
net5,98.64
net4,96.2
net15,93.68
net11,90.94
_048_,85.69
net14,85.04
_033_,83.84
_024_,81.68
net19,80.615
net27,80.14
net3,78.76
net1,77.96
net18,74.885
_012_,73.72
net13,71.17
_089_,67.24
_009_,65.98
_034_,62.23
_007_,60.56
_064_,58.61
_021_,56.73
_081_,56.34
_031_,55.3
_023_,54.36
_041_,54.32
net8,54.28
_018_,54
net20,53.3
_077_,53.18
_053_,52.54
net22,52.24
_036_,51.52
_032_,50.85
_056_,50.74
_058_,50.08
net28,49.73
net25,48.76
_083_,48.45
_050_,48.08
_093_,47.83
_000_,46.7
_092_,46.64
_003_,46.5
_039_,46.22
_063_,45.32
_069_,44.85
_044_,44.3
net16,44.27
_078_,44.12
_016_,43.86
_072_,42.66
_029_,42.28
_055_,41.98
_062_,40.15
_054_,39.95
_091_,39.94
_085_,39.4
_079_,39.16
_066_,38.9
_014_,38.68
_094_,38.3
_057_,38.29
_049_,36.69
net21,36.68
_045_,34.54
_065_,34.54
_008_,34.32
_027_,33.58
_087_,33.24
_059_,33.14
_095_,33.1
_005_,32.99
_037_,31.6
_006_,31.44
_076_,30.8
_002_,30.64
_086_,30.42
_075_,28.78
_061_,28.34
_028_,27.94
net23,27.78
_084_,27.76
_026_,27.685
_047_,27.66
_051_,27.56
_070_,26.18
_020_,25.88
_022_,25.18
_001_,24.04
_088_,24
A[7],23.37
_067_,23.06
_013_,22.82
_015_,21.6
_080_,21.58
_017_,20.68
_060_,19.66
_040_,19.49
_043_,18.92
_011_,18.2
_038_,18.12
out[4],17.71
_068_,17.54
out[7],17.53
_052_,16.93
net24,15.14
_042_,14.6
_090_,13.84
_046_,13.45
opcode[1],12.63
opcode[0],11.67
_074_,11.56
_073_,11.2
A[6],10.99
B[4],10.65
out[0],10.51
net26,9.44
_004_,9.06
net29,8.98
B[6],8.95
opcode[2],8.83
A[4],8.61
out[6],8.51
B[7],7.35
A[2],7.11
out[3],7.11
B[0],6.77
B[2],6.77
_019_,6.32
out[1],6.23
A[1],6.09
A[3],6.09
A[5],6.09
B[1],6.09
B[3],6.09
out[2],6.09
A[0],5.97
B[5],5.41
_010_,5.22
out[5],4.39
_025_,2.99
_071_,2.52
net30,1.08
